Episode,TotalReward,FinalScore
610,663.20,2000
611,240.71,2400
612,46.48,2400
613,873.64,3200
614,38.46,2000
615,386.34,1600
616,716.05,1600
617,745.18,1200
618,488.66,2400
619,270.19,2400
620,397.46,1600
621,869.95,2400
622,730.48,2000
623,661.13,1200
624,350.02,1600
625,656.45,2000
626,678.45,1600
627,709.20,1600
628,751.79,2800
629,658.91,2800
630,959.10,1200
631,735.81,1600
632,947.92,2000
633,695.71,1600
634,983.77,1600
635,884.81,2000
636,820.14,2400
637,891.80,3600
638,751.62,2000
639,833.48,1200
640,730.13,2400
641,562.78,1200
642,689.63,1600
643,482.30,2000
644,659.65,800
645,325.07,800
646,655.36,2400
647,686.83,2000
648,726.24,1600
649,722.41,1600
650,695.08,3200
651,726.37,1600
652,732.01,1600
653,1836.18,4800
654,821.50,2400
655,691.06,2000
656,1782.82,3600
657,712.48,1600
658,536.12,1600
659,747.43,2000
660,591.08,1600
661,836.96,1600
662,688.51,2000
663,1211.60,5200
664,697.87,1600
665,746.82,2400
666,794.94,2000
667,880.83,2000
668,769.46,1600
669,737.54,2400
670,871.71,2800
671,729.12,2000
672,781.58,800
673,753.49,2800
674,822.93,1600
675,810.36,2400
676,725.25,1200
677,738.23,2000
678,904.95,1200
679,755.95,2000
680,644.60,400
681,650.13,2400
682,846.89,1200
683,712.64,1600
684,697.23,1600
685,626.10,2000
686,838.79,1200
687,579.80,2400
688,644.91,1200
689,268.84,2000
690,841.33,1200
691,757.98,2400
692,642.36,1200
693,746.44,2400
694,862.93,800
695,843.77,2000
696,584.59,800
697,740.86,2400
698,425.12,1200
699,836.98,1600
700,-1765.75,2400
701,909.00,2000
702,1714.14,6000
703,731.80,800
704,821.28,2400
705,621.79,1600
706,878.98,1600
707,732.31,1200
708,772.93,2800
709,1032.67,800
710,859.80,2400
711,721.18,800
712,679.36,1200
713,979.30,1600
714,753.83,2400
715,577.68,1200
716,991.36,1600
717,898.81,3200
718,804.53,2400
719,663.90,2000
720,707.71,1600
721,973.32,800
722,788.12,2400
723,1883.81,3200
724,903.91,1600
725,612.40,2000
726,743.14,2400
727,968.59,800
728,875.99,1600
729,1514.86,3200
730,899.65,1600
731,887.10,2400
732,765.46,2400
733,-3423.01,2000
734,765.69,2400
735,726.94,2000
736,1693.02,4400
737,716.92,1600
738,1141.94,2400
739,739.22,1600
740,809.11,2800
741,1063.95,800
742,907.90,2400
743,425.15,800
744,589.34,2400
745,1016.88,1600
746,874.53,2400
747,642.13,1200
748,692.13,1200
749,915.09,1200
750,839.44,2400
751,727.45,1200
752,-3690.98,3200
753,2865.38,4400
754,741.66,1600
755,867.65,2000
756,856.79,1200
757,894.36,1600
758,752.75,800
759,612.38,1600
760,797.54,1200
761,910.93,2800
762,636.98,1200
763,1861.58,4000
764,787.25,1200
765,664.87,2400
766,965.46,800
767,881.69,2800
768,738.10,1200
769,2022.16,3600
770,3139.21,4400
771,721.02,800
772,845.63,1600
773,882.97,800
774,847.93,1600
775,704.60,800
776,2199.99,3200
777,891.80,2800
778,686.48,1200
779,544.12,3600
780,646.00,1200
781,2216.32,3600
782,710.19,1200
783,875.25,2400
784,916.85,800
785,832.69,2000
786,728.28,800
787,874.36,2800
788,906.98,800
789,903.98,2000
790,728.88,1600
791,863.06,1600
792,744.10,400
793,821.88,2000
794,691.48,1200
795,855.54,2000
796,908.64,1200
797,793.09,2800
798,662.98,1200
799,703.84,2800
800,855.60,800
801,863.96,2400
802,716.75,1200
803,642.67,1200
804,1032.22,400
805,831.60,1600
806,650.19,800
807,877.27,2000
808,861.12,800
809,845.89,2000
810,575.10,1200
811,1867.78,3200
812,678.93,1200
813,728.14,2400
814,877.41,400
815,881.73,2400
816,776.27,1600
817,979.66,1600
818,834.91,800
819,756.57,2000
820,698.94,1200
821,1695.57,3200
822,702.25,2000
823,674.15,1200
824,1818.57,2400
825,619.27,1200
826,855.21,2400
827,915.44,1600
828,790.18,2400
829,657.94,1200
830,726.05,2800
831,1435.67,3200
832,575.07,800
833,2295.92,3200
834,409.49,1200
835,679.49,2800
836,1047.65,1200
837,849.77,2400
838,630.83,1600
839,782.85,1600
840,996.34,800
841,842.34,2800
842,692.70,2400
843,697.50,1600
844,1741.22,2800
845,805.77,2000
846,867.86,1200
847,831.20,800
848,874.91,2400
849,742.41,2400
850,657.86,1200
851,952.01,800
852,889.97,2800
853,681.39,1600
854,1739.09,2800
855,765.17,1600
856,706.62,1600
857,1937.18,3200
858,568.38,800
859,2139.83,2800
860,754.30,1600
861,653.32,2400
862,1787.64,3200
863,274.16,800
864,658.35,1600
865,1047.77,800
866,886.75,2400
867,763.63,2000
868,710.84,1200
869,1018.95,800
870,838.27,1600
871,707.46,2000
872,850.30,2800
873,927.46,1200
874,865.98,2400
875,690.25,2400
876,707.61,2000
877,1827.99,2800
878,619.93,1600
879,1782.35,2800
880,1029.99,2400
881,703.87,1600
882,1003.95,800
883,892.00,2000
884,797.26,2000
885,726.47,2400
886,2283.36,4000
887,814.35,2400
888,1786.70,2800
889,901.64,2400
890,722.13,1600
891,2339.49,4400
892,735.53,2400
893,2268.87,2800
894,772.21,2000
895,699.43,1600
896,2018.76,3600
897,822.80,1600
898,2174.46,3200
899,810.47,2800
900,689.15,1600
901,9473.17,6000
902,708.20,2400
903,2135.83,3600
904,852.23,1600
905,730.11,1600
906,2482.33,2800
907,837.37,2000
908,2409.99,3600
909,647.68,2000
910,855.55,1200
911,714.37,800
912,844.26,2000
913,717.04,1600
914,722.56,2000
915,2259.07,4000
916,753.19,2000
917,2066.14,3600
918,926.27,2800
919,669.64,2400
920,2297.23,4400
921,708.12,2000
922,2275.41,3200
923,705.94,1600
924,807.67,1600
925,928.34,1200
926,761.41,2000
927,713.57,1600
928,838.17,2400
929,733.22,1200
930,853.23,2400
931,828.40,2400
932,790.10,2000
933,1714.11,3200
934,673.63,1600
935,853.99,2000
936,973.14,800
937,923.97,2000
938,666.02,1200
939,715.36,1600
940,808.69,2000
941,853.23,800
942,668.59,2400
943,562.98,800
944,669.76,1200
945,947.03,400
946,841.27,2000
947,771.20,2000
948,709.62,1200
949,1546.83,3200
950,712.64,2000
951,2177.18,3600
952,817.83,2400
953,747.17,2000
954,1067.00,800
955,930.10,2000
956,709.09,2000
957,692.30,1600
958,1747.34,4000
959,226.88,1200
960,1854.63,2400
961,668.61,2000
962,672.19,1600
963,1865.77,2000
964,777.67,2800
965,2153.31,3600
966,648.48,1200
967,740.53,1600
968,2073.61,2800
969,631.94,1200
970,789.19,2000
971,878.40,2400
972,767.21,2400
973,269.64,2000
974,219.02,2400
975,466.82,2000
976,749.81,2400
977,-10404.69,1600
978,893.27,1600
979,832.60,2000
980,89.77,1600
981,565.11,2000
982,802.30,2400
983,902.14,2000
984,88.00,1200
985,421.83,2800
986,951.90,800
987,898.18,1600
988,75.08,800
989,641.43,2000
990,924.94,1600
991,853.43,2400
992,101.47,800
993,677.01,1600
994,93.23,3600
995,556.14,2000
996,901.86,800
997,728.90,800
998,774.86,2400
999,666.94,1600
